id,title,submitter,date,detail_url,file_path,text_path
F2665641,Feedback from: U.S. Chamber of Commerce,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665641_en,data/pdfs/F2665641__090166e5e0ab5b27.pdf,
F2665642,Feedback from: University of Cambridge,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665642_en,data/pdfs/F2665642__090166e5e0ab65e6.pdf,
F2665643,Feedback from: Confederation of Laboratories for AI Research in Europe (CLAIRE),,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665643_en,data/pdfs/F2665643__090166e5e0ab8807.pdf,
F2665645,Feedback from: American Property Casualty Insurance Association,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665645_en,data/pdfs/F2665645__090166e5e0ab9ec2.pdf,
F2665646,Feedback from: Fair Trials,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665646_en,data/pdfs/F2665646__090166e5e0ab8061.pdf,
F2665647,Feedback from: CrowdStrike,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665647_en,data/pdfs/F2665647__090166e5e0aba69d.pdf,
F2665648,Feedback from: UC Berkeley Center for Human-Compatible AI,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665648_en,data/pdfs/F2665648__090166e5e0aba041.pdf,
F2665649,Feedback from: Digitalcourage e.V.,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665649_en,data/pdfs/F2665649__090166e5e0ab8064.pdf,
F2665650,Feedback from: AI Austria,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665650_en,data/pdfs/F2665650__090166e5e0ab9c0c.pdf,
F2665651,Feedback from: Equinet,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665651_en,data/pdfs/F2665651__090166e5e1cd1796.pdf,
F2665627,Feedback from: Håkan Burden,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665627_en,data/pdfs/F2665627__090166e5e1cd17d1.pdf,
F2665628,Feedback from: European Federation of Psychologists’ Associations (EFPA),,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665628_en,,data/text/F2665628.txt
F2665629,Feedback from: ALLAI,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665629_en,data/pdfs/F2665629__090166e5e0ab0338.pdf,
F2665632,Feedback from: BETTER FINANCE,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665632_en,data/pdfs/F2665632__090166e5e0aafce3.pdf,
F2665633,Feedback from: DIGITALEUROPE,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665633_en,data/pdfs/F2665633__090166e5e0ab0dd2.pdf,
F2665634,Feedback from: Amnesty International,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665634_en,data/pdfs/F2665634__090166e5e0ab1f08.pdf,
F2665637,Feedback from: Getty Images (UK) Ltd,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665637_en,data/pdfs/F2665637__090166e5e0ab2408.pdf,
F2665638,Feedback from: World Employment Confederation - Europe,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665638_en,data/pdfs/F2665638__090166e5e0ab240a.pdf,
F2665639,Feedback from: Institute for Social Science Research e.V. (ISF Munich),,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665639_en,,data/text/F2665639.txt
F2665640,Feedback from: Dr. Bublitz & Prof. Douglas,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665640_en,data/pdfs/F2665640__090166e5e0ab49da.pdf,
F2665611,Feedback from: The Future Society,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665611_en,data/pdfs/F2665611__090166e5e0aa234b.pdf,
F2665614,Feedback from: Technology Industries of Finland,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665614_en,data/pdfs/F2665614__090166e5e1cd10bf.pdf,
F2665615,Feedback from: IBM,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665615_en,data/pdfs/F2665615__090166e5e0aa7a57.pdf,
F2665616,Feedback from: Federation of Craft Businesses in the automotive sector and in mobility services (FNA),,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665616_en,data/pdfs/F2665616__090166e5e0aa77cd.pdf,
F2665617,Feedback from: Fédération Française de l'Assurance,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665617_en,data/pdfs/F2665617__090166e5e0aa77cf.pdf,
F2665618,Feedback from: 5G Automotive Association,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665618_en,data/pdfs/F2665618__090166e5e0aa7f3a.pdf,
F2665623,Feedback from: Climate Change AI,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665623_en,data/pdfs/F2665623__090166e5e0aab155.pdf,
F2665624,Feedback from: Johner Institut GmbH,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665624_en,data/pdfs/F2665624__090166e5e0aab159.pdf,
F2665625,Feedback from: Avaaz Foundation,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665625_en,data/pdfs/F2665625__090166e5e0aab4b5.pdf,
F2665626,Feedback from: University of Cambridge (Leverhulme Centre for the Future of Intelligence and Centre for the Study of Existential Risk),,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665626_en,data/pdfs/F2665626__090166e5e0aab6fd.pdf,
F2665599,Feedback from: Engine,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665599_en,data/pdfs/F2665599__090166e5e0a9b123.pdf,
F2665600,Feedback from: Dessislava Fessenko,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665600_en,data/pdfs/F2665600__090166e5e0a9ad81.pdf,
F2665602,Feedback from: KI Bundesverband e.V.,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665602_en,data/pdfs/F2665602__090166e5e0a9a785.pdf,
F2665603,Feedback from: European AI Forum,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665603_en,data/pdfs/F2665603__090166e5e15ec350.pdf,
F2665604,Feedback from: Siemens Healthineers,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665604_en,data/pdfs/F2665604__090166e5e0a9b0d1.pdf,
F2665605,Feedback from: European Healthcare Fraud and Corruption Network-AI Working Group,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665605_en,,data/text/F2665605.txt
F2665607,Feedback from: Facebook Ireland Limited,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665607_en,data/pdfs/F2665607__090166e5e0a9e4d6.pdf,
F2665608,Feedback from: LA POSTE,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665608_en,,data/text/F2665608.txt
F2665609,Feedback from: Governance in AI Research Group (GAIRG),,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665609_en,data/pdfs/F2665609__090166e5e0aa187b.pdf,
F2665610,Feedback from: ABB,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665610_en,data/pdfs/F2665610__090166e5e0aa22c5.pdf,
F2665583,Feedback from: Infineon Technologies AG,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665583_en,,data/text/F2665583.txt
F2665586,Feedback from: Philips,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665586_en,data/pdfs/F2665586__090166e5e0a8f2cf.pdf,
F2665587,Feedback from: Unipol Gruppo S.p.A.,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665587_en,data/pdfs/F2665587__090166e5e0a8fa4d.pdf,
F2665589,Feedback from: Impact AI,,,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665589_en,data/pdfs/F2665589__090166e5e0a8f8b3.pdf,
